project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
attrs,https://github.com/python-attrs/attrs,https://github.com/python-attrs/attrs/blob/main/.github/AI_POLICY.md,Yes,?,Yes,Yes,"""No LLM bots in Co-authored-by:s.""",python-attrs,attrs,True,False
Avoyd,https://www.avoyd.com,https://www.enkisoftware.com/faq#nogenAI,No,-,-,-,It is AI image denoising that uses training data with appropriate rights. It doesn't allow LLM use for writing the code.,,,False,False
Bevy,https://bevy.org,https://bevy.org/learn/contribute/policies/ai/,No,-,Yes,-,-,,,False,False
Bobby,https://github.com/hbons/Bobby,https://github.com/hbons/Bobby?tab=contributing-ov-file#use-of-generative-ai,No,-,Yes,-,-,hbons,Bobby,True,False
Borgmatic,https://torsion.org/borgmatic,https://projects.torsion.org/borgmatic-collective/borgmatic/src/branch/main/AGENTS.md,No*,-,-,-,"An AGENTS.md file is provided, which instructs the agent to not modify the code. AI is allowed to interact with the code in a read-only manner.",,,False,False
CapyPDF,https://github.com/jpakkane/capypdf,https://github.com/jpakkane/capypdf/?tab=readme-ov-file#ai-policy,No,-,-,-,,jpakkane,capypdf,True,False
Cataclysm: Dark Days Ahead,http://cataclysmdda.org/,https://github.com/CleverRaven/Cataclysm-DDA/blob/master/CONTRIBUTING.md#licensing-and-authorship,No,-,-,-,,CleverRaven,Cataclysm-DDA,True,False
CCExtractor,https://ccextractor.org/,https://ccextractor.org/public/gsoc/ai_policy/,Yes,Yes,Yes,Yes,"Mark PRs as ""AI-generated/AI-assisted/No AI used""",CCExtractor,ccextractor,True,True
CC Open Source,https://opensource.creativecommons.org/,https://opensource.creativecommons.org/contributing-code/,No,-,-,-,,,,False,False
Cheese Paper,https://brie.gay/cheese-paper,https://codeberg.org/ByteOfBrie/cheese-paper#ai,No,-,Yes,-,-,,,False,False
chezmoi,https://www.chezmoi.io,https://www.chezmoi.io/developer-guide/,No,-,-,-,Shows a Claude banner due to [a single Claude commit](https://slopscan.ava.pet/repo/https%3A%2F%2Fgithub%2Ecom%2Ftwpayne%2Fchezmoi) that was created before the [introduction of the ban](https://github.com/twpayne/chezmoi/commit/7938c65ca55aaeaf6fc56d37b0b32073d2e5c461).,,,False,False
Chimera Linux,https://chimera-linux.org,https://gts.chimera-linux.org/@chimera/statuses/01KK78VSB4G5S75STYEY3YTR2H,No,-,-,-,-,,,False,False
ChiPass,https://chipass.org,https://codeberg.org/ChiPass/ChiPass/src/branch/main/CONTRIBUTING.md,No,-,-,-,-,,,False,False
cilium,https://cilium.io/,https://github.com/cilium/community/blob/main/AI-POLICY.md,Yes,Yes,Yes,Yes,"DCO signoff required for all contributions, including AI-generated ones.",cilium,community,True,False
Clojure,https://clojure.org,https://clojure.org/dev/contributor_agreement#_no_generated_code,No,-,-,-,,,,False,False
CloudNativePG,https://cloudnative-pg.io/,https://github.com/cloudnative-pg/governance/blob/main/AI_POLICY.md,Yes,Yes,Yes,Yes,,cloudnative-pg,governance,True,False
conda,https://github.com/conda/conda,https://docs.conda.io/projects/conda/en/latest/dev-guide/contributing.html#generative-ai,Yes,No,Yes,Yes,,conda,conda,True,False
CPython,https://github.com/python/cpython,https://devguide.python.org/getting-started/generative-ai/,Yes,No,No,Yes,"""Disclosure of the use of AI tools in the PR description is appreciated, while not required.""",python,cpython,True,False
CuPy,https://cupy.dev,https://docs.cupy.dev/en/stable/contribution.html#ai-policies,Yes,No,No,Yes,,,,False,False
curl,https://curl.se/,https://curl.se/dev/contribute.html#on-ai-use-in-curl,Yes,Yes,Yes,Yes,"""The golden rule is that a contribution should be worth more to the project than the time it takes to review it, which is usually not the case if large parts of your PR were written by LLMs.""",curl,curl,True,True
DataJourneyHQ,https://datajourneyhq.com/,https://github.com/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI%E2%80%90Aware,Yes,Yes,No,-,,DataJourneyHQ,DataJourney,True,False
Decker,https://beyondloom.com/decker,https://github.com/JohnEarnest/Decker/blob/main/Readme.md#contributing,No,-,-,-,-,JohnEarnest,Decker,True,False
Django,https://www.djangoproject.com/,https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/submitting-patches/#ai-assisted-contributions,Yes,Yes,No,Yes,[PR template](https://github.com/django/django/blob/main/.github/pull_request_template.md); No automated AI reviews,django,django,True,True
dlt,https://dlthub.com/,https://blog.probabl.ai/how-you-can-embrace-ai-in-your-open-source-projects-contribution-cycle-insights-from-dlt,Yes,No,No,No,,,,False,False
do,https://codeberg.org/cgranade/do,https://codeberg.org/cgranade/do#license-and-ai-policy,No,-,-,-,-,,,False,False
Drupal,https://www.drupal.org,https://www.drupal.org/docs/develop/issues/issue-procedures-and-etiquette/policy-on-the-use-of-ai-when-contributing-to-drupal,Yes,Yes,Yes,Yes,,,,False,False
Dune 3D,https://dune3d.org/,https://github.com/dune3d/dune3d/blob/main/CONTRIBUTING.md#use-of-large-language-models--generative-ai,No,-,-,-,-,dune3d,dune3d,True,False
EasyBuild,https://easybuild.io/,https://docs.easybuild.io/policies/ai/,Yes,Yes,No,Yes,Requires declaration of specific AI models/tools used.,,,False,False
Elastic,https://gitlab.gnome.org/World/elastic,https://gitlab.gnome.org/World/elastic#use-of-generative-ai,No,-,-,-,-,,,False,False
Elementary OS,https://elementary.io/,https://docs.elementary.io/contributor-guide/development/generative-ai-policy,No,-,-,-,-,,,False,False
EmulatorKit,https://codeberg.org/EtchedPixels/EmulatorKit,https://codeberg.org/EtchedPixels/EmulatorKit/src/branch/master/ContributionRules,No,-,-,-,Explicit ban on Copilot; [maintainer has confirmed](https://codeberg.org/EtchedPixels/EmulatorKit/src/branch/master/ContributionRules) this applies to other LLM contributions,,,False,False
Endless Sky,https://endless-sky.github.io,https://github.com/endless-sky/endless-sky/blob/master/docs/CONTRIBUTING.md#on-ai-generatedassisted-content,No,-,Yes,-,-,endless-sky,endless-sky,True,False
Evi,https://codeberg.org/evi-editor/evi,https://codeberg.org/evi-editor/evi/src/branch/master/CONTRIBUTING.md#using-ai,No,-,-,-,-,,,False,False
FastAPI,https://fastapi.tiangolo.com,https://tiangolo.com/open-source/contributing/#automated-code-and-ai,Yes,No,No,Yes,"""If the human effort put in a PR, e.g. writing LLM prompts, is less than the effort we would need to put to review it, please don't submit the PR.""",,,False,False
Fedora,https://fedoraproject.org/,https://docs.fedoraproject.org/en-US/council/policy/ai-contribution-policy/,Yes,Yes,Yes,Yes,[Fedora Council Policy Proposal: Policy on AI-Assisted Contributions](https://communityblog.fedoraproject.org/council-policy-proposal-policy-on-ai-assisted-contributions/),,,False,False
Fennel,https://fennel-lang.org,https://git.sr.ht/~technomancy/fennel/tree/main/item/CONTRIBUTING.md#contribution-transparency,No,-,-,-,-,,,False,False
